episode,total_reward,best_reward,average_reward,episode_length,total_steps,epsilon,average_loss,learning_rate,gamma,timestamp
0,67.7,67.7,67.7,166,166,0.9983,0.0,0.0001,0.99,2025-09-12 12:12:43
1,65.65,67.7,66.675,554,720,0.9929,0.0,0.0001,0.99,2025-09-12 12:12:45
2,64.6,67.7,65.983,624,1344,0.9868,0.0,0.0001,0.99,2025-09-12 12:12:49
3,55.9,67.7,63.463,92,1436,0.9859,0.0,0.0001,0.99,2025-09-12 12:12:50
4,55.5,67.7,61.87,241,1677,0.9835,0.0,0.0001,0.99,2025-09-12 12:12:51
5,81.1,81.1,65.075,1103,2780,0.9728,0.0,0.0001,0.99,2025-09-12 12:12:59
6,17.0,81.1,58.207,45,2825,0.9724,0.0,0.0001,0.99,2025-09-12 12:12:59
7,18.8,81.1,53.281,62,2887,0.9718,0.0,0.0001,0.99,2025-09-12 12:13:00
8,16.2,81.1,49.161,91,2978,0.9709,0.0,0.0001,0.99,2025-09-12 12:13:00
9,17.6,81.1,46.005,46,3024,0.9705,0.0,0.0001,0.99,2025-09-12 12:13:01
10,53.35,81.1,46.673,249,3273,0.9681,0.0,0.0001,0.99,2025-09-12 12:13:02
11,54.6,81.1,47.333,1264,4537,0.9561,0.0,0.0001,0.99,2025-09-12 12:13:11
12,56.95,81.1,48.073,115,4652,0.955,0.0,0.0001,0.99,2025-09-12 12:13:11
13,58.0,81.1,48.782,105,4757,0.954,0.0,0.0001,0.99,2025-09-12 12:13:12
14,54.75,81.1,49.18,102,4859,0.953,0.0,0.0001,0.99,2025-09-12 12:13:13
15,16.4,81.1,47.131,54,4913,0.9525,0.0,0.0001,0.99,2025-09-12 12:13:13
16,121.65,121.65,51.515,759,5672,0.9454,0.0,0.0001,0.99,2025-09-12 12:13:18
17,78.65,121.65,53.022,1221,6893,0.934,0.0,0.0001,0.99,2025-09-12 12:13:26
18,13.8,121.65,50.958,76,6969,0.9333,0.0,0.0001,0.99,2025-09-12 12:13:27
19,113.6,121.65,54.09,902,7871,0.9251,0.0,0.0001,0.99,2025-09-12 12:13:33
20,53.8,121.65,54.076,169,8040,0.9235,0.0,0.0001,0.99,2025-09-12 12:13:34
21,65.9,121.65,54.614,332,8372,0.9205,0.0,0.0001,0.99,2025-09-12 12:13:36
22,50.75,121.65,54.446,334,8706,0.9174,0.0,0.0001,0.99,2025-09-12 12:13:38
23,88.45,121.65,55.863,677,9383,0.9113,0.0,0.0001,0.99,2025-09-12 12:13:42
24,52.7,121.65,55.736,216,9599,0.9094,0.0,0.0001,0.99,2025-09-12 12:13:44
25,56.65,121.65,55.771,237,9836,0.9073,0.0,0.0001,0.99,2025-09-12 12:13:45
26,62.8,121.65,56.031,878,10714,0.8994,0.0268,0.0001,0.99,2025-09-12 12:13:57
27,68.05,121.65,56.461,1766,12480,0.8838,0.0253,0.0001,0.99,2025-09-12 12:14:25
28,57.1,121.65,56.483,172,12652,0.8823,0.0352,0.0001,0.99,2025-09-12 12:14:28
29,19.6,121.65,55.253,34,12686,0.882,0.064,0.0001,0.99,2025-09-12 12:14:28
30,121.55,121.65,57.392,468,13154,0.878,0.0382,0.0001,0.99,2025-09-12 12:14:35
31,17.6,121.65,56.148,38,13192,0.8776,0.015,0.0001,0.99,2025-09-12 12:14:36
32,58.6,121.65,56.223,680,13872,0.8718,0.0394,0.0001,0.99,2025-09-12 12:14:46
33,18.1,121.65,55.101,43,13915,0.8714,0.0153,0.0001,0.99,2025-09-12 12:14:47
34,19.9,121.65,54.096,33,13948,0.8711,0.0267,0.0001,0.99,2025-09-12 12:14:47
35,58.15,121.65,54.208,657,14605,0.8655,0.0424,0.0001,0.99,2025-09-12 12:14:57
36,56.15,121.65,54.261,95,14700,0.8647,0.0192,0.0001,0.99,2025-09-12 12:14:59
37,147.75,147.75,56.721,481,15181,0.8606,0.0353,0.0001,0.99,2025-09-12 12:15:05
38,53.25,147.75,56.632,126,15307,0.8595,0.042,0.0001,0.99,2025-09-12 12:15:07
39,107.7,147.75,57.909,1201,16508,0.8493,0.0394,0.0001,0.99,2025-09-12 12:15:25
40,53.95,147.75,57.812,188,16696,0.8478,0.0536,0.0001,0.99,2025-09-12 12:15:28
41,17.6,147.75,56.855,37,16733,0.8475,0.0618,0.0001,0.99,2025-09-12 12:15:28
42,121.8,147.75,58.365,592,17325,0.8425,0.0351,0.0001,0.99,2025-09-12 12:15:37
43,77.7,147.75,58.805,1277,18602,0.8319,0.0594,0.0001,0.99,2025-09-12 12:15:58
44,18.4,147.75,57.907,46,18648,0.8316,0.1274,0.0001,0.99,2025-09-12 12:15:58
45,15.3,147.75,56.98,56,18704,0.8311,0.0568,0.0001,0.99,2025-09-12 12:15:59
46,105.9,147.75,58.021,380,19084,0.828,0.0752,0.0001,0.99,2025-09-12 12:16:06
47,20.6,147.75,57.242,30,19114,0.8277,0.0306,0.0001,0.99,2025-09-12 12:16:06
48,18.2,147.75,56.445,43,19157,0.8274,0.0262,0.0001,0.99,2025-09-12 12:16:07
49,74.0,147.75,56.796,294,19451,0.825,0.0867,0.0001,0.99,2025-09-12 12:16:13
50,19.3,147.75,56.061,40,19491,0.8247,0.1876,0.0001,0.99,2025-09-12 12:16:13
51,19.3,147.75,55.354,46,19537,0.8243,0.0407,0.0001,0.99,2025-09-12 12:16:14
52,77.25,147.75,55.767,134,19671,0.8232,0.0947,0.0001,0.99,2025-09-12 12:16:17
53,98.25,147.75,56.554,221,19892,0.8214,0.0693,0.0001,0.99,2025-09-12 12:16:20
54,15.5,147.75,55.807,57,19949,0.8209,0.052,0.0001,0.99,2025-09-12 12:16:21
55,55.9,147.75,55.809,103,20052,0.8201,0.0805,0.0001,0.99,2025-09-12 12:16:23
56,53.45,147.75,55.768,150,20202,0.8189,0.0967,0.0001,0.99,2025-09-12 12:16:25
57,58.8,147.75,55.82,166,20368,0.8176,0.0813,0.0001,0.99,2025-09-12 12:16:28
58,20.3,147.75,55.218,31,20399,0.8173,0.0438,0.0001,0.99,2025-09-12 12:16:28
59,59.95,147.75,55.297,155,20554,0.8161,0.0861,0.0001,0.99,2025-09-12 12:16:30
60,98.0,147.75,55.997,250,20804,0.814,0.0543,0.0001,0.99,2025-09-12 12:16:34
61,52.95,147.75,55.948,261,21065,0.8119,0.0708,0.0001,0.99,2025-09-12 12:16:38
62,39.05,147.75,55.679,1657,22722,0.7988,0.1111,0.0001,0.99,2025-09-12 12:17:04
63,18.4,147.75,55.097,39,22761,0.7985,0.0814,0.0001,0.99,2025-09-12 12:17:05
64,17.7,147.75,54.522,49,22810,0.7981,0.0261,0.0001,0.99,2025-09-12 12:17:06
65,128.3,147.75,55.639,737,23547,0.7923,0.1031,0.0001,0.99,2025-09-12 12:17:17
66,56.5,147.75,55.652,137,23684,0.7912,0.1367,0.0001,0.99,2025-09-12 12:17:19
67,65.55,147.75,55.798,213,23897,0.7896,0.0952,0.0001,0.99,2025-09-12 12:17:23
68,54.8,147.75,55.783,170,24067,0.7882,0.1191,0.0001,0.99,2025-09-12 12:17:26
69,83.75,147.75,56.183,941,25008,0.7809,0.1503,0.0001,0.99,2025-09-12 12:17:42
70,73.15,147.75,56.422,372,25380,0.7781,0.2118,0.0001,0.99,2025-09-12 12:17:48
71,74.2,147.75,56.669,304,25684,0.7757,0.231,0.0001,0.99,2025-09-12 12:17:53
72,63.35,147.75,56.76,287,25971,0.7736,0.1657,0.0001,0.99,2025-09-12 12:17:57
73,20.0,147.75,56.264,35,26006,0.7733,0.2427,0.0001,0.99,2025-09-12 12:17:58
74,65.3,147.75,56.384,303,26309,0.771,0.1608,0.0001,0.99,2025-09-12 12:18:03
75,58.2,147.75,56.408,176,26485,0.7696,0.2734,0.0001,0.99,2025-09-12 12:18:06
76,57.75,147.75,56.425,233,26718,0.7679,0.2481,0.0001,0.99,2025-09-12 12:18:09
77,71.7,147.75,56.621,410,27128,0.7648,0.2197,0.0001,0.99,2025-09-12 12:18:16
78,53.85,147.75,56.586,178,27306,0.7634,0.2434,0.0001,0.99,2025-09-12 12:18:19
79,58.45,147.75,56.609,665,27971,0.7584,0.2913,0.0001,0.99,2025-09-12 12:18:30
80,123.2,147.75,57.431,441,28412,0.7551,0.2828,0.0001,0.99,2025-09-12 12:18:37
81,57.95,147.75,57.438,89,28501,0.7545,0.157,0.0001,0.99,2025-09-12 12:18:39
82,20.3,147.75,56.99,39,28540,0.7542,0.2014,0.0001,0.99,2025-09-12 12:18:39
83,54.2,147.75,56.957,110,28650,0.7534,0.2031,0.0001,0.99,2025-09-12 12:18:41
84,16.4,147.75,56.48,54,28704,0.753,0.3212,0.0001,0.99,2025-09-12 12:18:42
85,56.5,147.75,56.48,97,28801,0.7522,0.2737,0.0001,0.99,2025-09-12 12:18:44
86,55.55,147.75,56.47,106,28907,0.7515,0.4365,0.0001,0.99,2025-09-12 12:18:45
87,18.9,147.75,56.043,36,28943,0.7512,0.2454,0.0001,0.99,2025-09-12 12:18:46
88,18.5,147.75,55.621,55,28998,0.7508,0.1602,0.0001,0.99,2025-09-12 12:18:47
89,58.8,147.75,55.656,172,29170,0.7495,0.269,0.0001,0.99,2025-09-12 12:18:50
90,19.7,147.75,55.261,35,29205,0.7493,0.1585,0.0001,0.99,2025-09-12 12:18:50
91,65.45,147.75,55.372,195,29400,0.7478,0.2142,0.0001,0.99,2025-09-12 12:18:53
92,55.6,147.75,55.374,153,29553,0.7467,0.5622,0.0001,0.99,2025-09-12 12:18:56
93,114.0,147.75,55.998,885,30438,0.7402,0.2843,0.0001,0.99,2025-09-12 12:19:09
94,54.35,147.75,55.981,189,30627,0.7388,0.2474,0.0001,0.99,2025-09-12 12:19:12
95,17.6,147.75,55.581,57,30684,0.7384,0.1907,0.0001,0.99,2025-09-12 12:19:13
96,133.8,147.75,56.387,439,31123,0.7352,0.3576,0.0001,0.99,2025-09-12 12:19:20
97,19.0,147.75,56.006,54,31177,0.7348,0.2592,0.0001,0.99,2025-09-12 12:19:20
98,75.1,147.75,56.198,1330,32507,0.7252,0.371,0.0001,0.99,2025-09-12 12:19:40
99,75.4,147.75,56.391,199,32706,0.7238,0.4985,0.0001,0.99,2025-09-12 12:19:43
100,19.7,147.75,55.911,35,32741,0.7236,0.4258,0.0001,0.99,2025-09-12 12:19:44
101,136.85,147.75,56.623,315,33056,0.7213,0.4706,0.0001,0.99,2025-09-12 12:19:49
102,53.15,147.75,56.508,212,33268,0.7198,0.619,0.0001,0.99,2025-09-12 12:19:53
103,19.1,147.75,56.14,38,33306,0.7196,0.3707,0.0001,0.99,2025-09-12 12:19:53
104,54.95,147.75,56.135,136,33442,0.7186,1.0685,0.0001,0.99,2025-09-12 12:19:56
105,156.15,156.15,56.885,541,33983,0.7148,0.4605,0.0001,0.99,2025-09-12 12:20:05
106,127.55,156.15,57.991,322,34305,0.7125,0.4463,0.0001,0.99,2025-09-12 12:20:10
107,53.2,156.15,58.335,138,34443,0.7115,0.3756,0.0001,0.99,2025-09-12 12:20:13
108,118.2,156.15,59.355,673,35116,0.7068,0.5462,0.0001,0.99,2025-09-12 12:20:23
109,47.25,156.15,59.651,1342,36458,0.6975,0.5991,0.0001,0.99,2025-09-12 12:20:46
110,18.7,156.15,59.305,41,36499,0.6973,0.5819,0.0001,0.99,2025-09-12 12:20:46
111,16.0,156.15,58.919,55,36554,0.6969,0.7258,0.0001,0.99,2025-09-12 12:20:47
112,18.4,156.15,58.533,42,36596,0.6966,0.8144,0.0001,0.99,2025-09-12 12:20:48
