episode,avg_return,max_stage,flag_get,avg_total_reward
1,1.027,1,False,126.0
2,9.013,1,False,238.0
3,21.116,1,False,205.8
4,26.687,1,False,180.0
5,37.686,1,False,309.0
6,40.948,1,False,211.333
7,45.583,1,False,221.9
8,51.83,1,False,274.167
9,52.429,1,False,186.056
10,54.018,1,False,208.75
11,58.651,1,False,283.467
12,62.113,1,False,244.357
13,63.685,1,False,281.182
14,65.323,1,False,251.1
15,61.622,1,False,240.2
16,74.859,1,False,425.0
17,66.423,1,False,251.941
18,65.092,1,False,262.167
19,69.367,1,False,278.385
20,64.874,1,False,208.316
21,59.212,1,False,215.5
22,60.963,1,False,191.333
23,66.142,1,False,335.667
24,59.505,1,False,214.789
25,59.417,1,False,209.786
26,57.912,1,False,246.455
27,54.828,1,False,238.636
28,60.137,1,False,249.583
29,61.68,1,False,225.176
30,59.456,1,False,245.444
31,54.113,1,False,243.632
32,54.807,1,False,229.375
33,50.216,1,False,172.917
34,42.937,1,False,205.632
35,40.024,1,False,179.619
36,43.321,1,False,219.833
37,42.305,1,False,155.667
38,52.14,1,False,229.615
39,55.024,1,False,168.867
40,58.561,1,False,253.778
41,55.184,1,False,275.667
42,53.684,1,False,227.176
43,56.856,1,False,308.667
44,53.454,1,False,186.333
45,57.589,1,False,259.643
46,60.365,1,False,188.643
47,59.675,1,False,195.0
48,64.26,1,False,174.938
49,67.786,1,False,271.636
50,63.718,1,False,188.8
51,61.987,1,False,247.444
52,61.999,1,False,313.364
53,63.833,1,False,280.4
54,61.316,1,False,363.182
55,62.866,1,False,316.6
56,62.263,1,False,226.412
57,56.905,1,False,292.714
58,59.302,1,False,202.455
59,61.397,1,False,181.615
60,61.185,1,False,262.364
61,65.75,1,False,171.308
62,63.051,1,False,228.692
63,62.373,1,False,163.429
64,63.373,1,False,254.417
65,67.397,1,False,172.312
66,65.045,1,False,230.727
67,66.638,1,False,306.769
68,67.671,1,False,277.154
69,64.937,1,False,210.643
70,62.658,1,False,216.211
71,63.371,1,False,258.625
72,66.545,1,False,260.417
73,57.033,1,False,209.381
74,60.054,1,False,218.917
75,59.946,1,False,295.286
76,62.862,1,False,265.25
77,61.234,1,False,264.364
78,63.164,1,False,204.5
79,62.372,1,False,221.286
80,57.798,1,False,215.789
81,59.699,1,False,257.923
82,64.557,1,False,260.0
83,59.983,1,False,275.733
84,63.227,1,False,294.769
85,65.062,1,False,282.154
86,62.903,1,False,186.6
87,56.797,1,False,242.824
88,65.387,1,False,254.083
89,63.826,1,False,254.75
90,62.026,1,False,201.0
91,63.916,1,False,330.2
92,63.351,1,False,244.071
93,73.787,1,False,227.909
94,70.371,1,False,237.688
95,88.021,1,False,380.0
96,79.545,1,False,319.882
97,81.79,1,False,292.941
98,77.444,1,False,319.0
99,70.191,1,False,309.214
100,74.145,1,False,381.833
101,70.572,1,False,351.333
102,72.394,1,False,277.333
103,71.294,1,False,309.077
104,69.108,1,False,349.8
105,73.259,1,False,243.8
106,71.116,1,False,176.429
107,72.339,1,False,293.917
108,73.277,1,False,357.2
109,65.558,1,False,227.667
110,64.275,1,False,208.0
111,64.99,1,False,218.25
112,59.641,1,False,238.5
113,47.844,1,False,193.615
114,54.266,1,False,212.444
115,57.183,1,False,203.333
116,59.807,1,False,279.077
117,54.64,1,False,221.9
118,52.709,1,False,202.625
119,56.602,1,False,185.75
120,59.276,1,False,240.917
121,60.576,1,False,198.75
122,58.525,1,False,327.333
123,59.528,1,False,280.364
124,57.262,1,False,251.7
125,61.965,1,False,238.714
126,66.723,1,False,413.286
127,55.805,1,False,189.714
128,63.58,1,False,290.6
129,61.58,1,False,208.2
130,59.298,1,False,255.353
131,58.573,1,False,281.5
132,60.611,1,False,256.25
133,61.032,1,False,322.2
134,63.684,1,False,400.375
135,51.414,1,False,163.594
136,56.238,1,False,293.125
137,55.154,1,False,326.929
138,53.713,1,False,302.5
139,55.817,1,False,242.0
140,59.067,1,False,339.583
141,64.71,1,False,300.455
142,62.699,1,False,324.182
143,68.714,1,False,412.538
144,74.388,1,False,371.909
145,63.005,1,False,257.333
146,63.93,1,False,316.667
147,68.352,1,False,253.6
148,69.244,1,False,304.0
149,63.085,1,False,266.8
150,67.555,1,False,329.0
151,68.385,1,False,403.357
152,69.415,1,False,326.188
153,59.431,1,False,568.0
154,67.468,1,False,262.176
155,60.993,1,False,301.667
156,62.773,1,False,295.0
157,66.672,1,False,273.5
158,57.824,1,False,205.889
159,48.18,1,False,258.5
160,49.149,1,False,297.357
161,58.427,1,False,293.75
162,62.467,1,False,335.125
163,57.78,1,False,345.875
164,63.804,1,False,256.286
165,61.962,1,False,290.25
166,65.858,1,False,401.667
167,70.563,1,False,453.0
168,72.933,1,False,258.409
169,73.267,1,False,375.583
170,69.603,1,False,349.167
171,69.294,1,False,299.571
172,36.544,1,False,67.0
173,29.214,1,False,88.5
174,25.513,1,False,189.5
175,19.617,1,False,363.0
176,26.744,1,False,49.0
177,33.227,1,False,246.167
178,46.114,1,False,245.273
179,53.942,1,False,274.1
180,54.449,1,False,274.125
181,53.41,1,False,193.667
182,51.809,1,False,251.6
183,36.582,1,False,88.0
184,31.337,1,False,259.0
185,32.173,1,False,324.0
186,35.213,1,False,111.2
187,29.948,1,False,366.2
188,45.787,1,False,228.0
189,59.832,1,False,349.462
190,54.232,1,False,384.533
191,65.368,1,False,276.176
192,64.044,1,False,269.077
193,65.873,1,False,231.769
194,66.113,1,False,207.583
195,64.259,1,False,225.286
196,64.206,1,False,337.727
197,66.931,1,False,231.588
198,69.004,1,False,222.0
199,71.871,1,False,197.091
200,65.87,1,False,299.6
201,69.99,1,False,278.154
202,61.264,1,False,267.929
203,58.807,1,False,386.0
204,63.959,1,False,264.929
205,56.302,1,False,271.429
206,73.492,1,False,382.75
207,64.86,1,False,308.3
208,69.617,1,False,215.688
209,62.972,1,False,254.95
210,66.444,1,False,372.0
211,60.119,1,False,321.733
212,57.205,1,False,345.333
213,65.911,1,False,280.1
214,77.91,1,False,263.111
215,49.807,1,False,205.6
216,57.089,1,False,214.222
217,64.736,1,False,266.875
218,60.433,1,False,265.273
219,62.595,1,False,244.154
220,71.455,1,False,201.8
221,68.19,1,False,248.0
222,70.013,1,False,201.5
223,69.796,1,False,263.125
224,68.234,1,False,247.0
225,67.496,1,False,269.5
226,65.721,1,False,381.333
227,65.542,1,False,286.222
228,57.105,1,False,234.714
229,52.765,1,False,277.8
230,61.346,1,False,253.429
231,64.84,1,False,328.5
232,68.535,1,False,280.786
233,62.41,1,False,356.8
234,73.967,1,False,328.077
235,61.7,1,False,405.875
236,72.846,1,False,400.167
237,76.331,1,False,528.167
238,73.631,1,False,204.625
239,58.403,1,False,211.182
240,62.607,1,False,446.0
241,69.506,1,False,281.273
242,61.968,1,False,184.5
243,75.139,1,False,311.0
244,79.436,1,False,329.5
245,72.62,1,False,414.889
246,74.957,1,False,283.133
247,75.666,1,False,385.143
248,78.476,1,False,449.875
249,81.61,1,False,559.333
250,85.625,1,False,552.556
251,81.987,1,False,202.571
252,91.526,1,False,464.0
253,96.38,1,False,410.222
254,98.88,1,False,371.167
255,88.222,1,False,593.4
256,88.778,1,False,343.583
257,87.048,1,False,414.643
258,86.192,1,False,309.778
259,89.838,1,False,350.667
260,79.137,1,False,380.9
261,83.353,1,False,537.111
262,85.765,1,False,524.111
263,64.344,1,False,396.0
