episode,avg_return,max_stage,flag_get,avg_total_reward
1,2.145,1,False,117.0
2,5.013,1,False,80.333
1,4.709,1,False,184.5
2,10.63,1,False,160.0
3,20.014,1,False,231.5
1,-0.669,1,False,0
2,0.205,1,False,0
3,0.65,1,False,0
4,4.802,1,False,0
5,3.074,1,False,0
1,2.133,1,False,0
2,5.908,1,False,0
3,1.401,1,False,-35.0
4,4.75,1,False,0
5,-3.377,1,False,0
6,-0.371,1,False,0
7,4.748,1,False,0
8,4.569,1,False,128.0
9,-1.383,1,False,0
10,-2.753,1,False,0
1,0.376,1,False,0
2,5.107,1,False,0
3,5.115,1,False,0
4,-4.061,1,False,0
5,0.561,1,False,16.0
6,7.553,1,False,0
7,9.033,1,False,0
8,2.184,1,False,23.0
9,2.937,1,False,0
10,2.358,1,False,0
11,-4.829,1,False,0
12,8.816,1,False,0
13,0.888,1,False,0
14,3.778,1,False,0
15,7.674,1,False,0
