episode,total_reward,best_reward,average_reward,episode_length,total_steps,epsilon,average_loss,learning_rate,gamma,timestamp
0,9.0,9.0,9.0,357,357,0.9965,0.0,0.0001,0.99,2025-09-09 17:24:54
1,12.6,12.6,10.8,228,585,0.9942,0.0,0.0001,0.99,2025-09-09 17:24:55
2,2.2,12.6,7.933,790,1375,0.9865,0.0,0.0001,0.99,2025-09-09 17:24:59
3,3.7,12.6,6.875,612,1987,0.9805,0.0,0.0001,0.99,2025-09-09 17:25:03
4,12.7,12.7,8.04,267,2254,0.9779,0.0,0.0001,0.99,2025-09-09 17:25:04
5,14.3,14.3,9.083,176,2430,0.9762,0.0,0.0001,0.99,2025-09-09 17:25:05
6,8.4,14.3,8.986,497,2927,0.9714,0.0,0.0001,0.99,2025-09-09 17:25:08
7,-2.3,14.3,7.575,974,3901,0.9621,0.0,0.0001,0.99,2025-09-09 17:25:15
8,8.2,14.3,7.644,422,4323,0.9581,0.0,0.0001,0.99,2025-09-09 17:25:18
9,9.0,14.3,7.78,395,4718,0.9544,0.0,0.0001,0.99,2025-09-09 17:25:21
10,-10.9,14.3,6.082,1352,6070,0.9417,0.0,0.0001,0.99,2025-09-09 17:25:29
